id,score,up_vote_count,down_vote_count,answers_count,view_count,is_answered
79793569,2,3,1,0,78,False
79793773,-2,0,2,1,73,True
79794098,0,0,0,1,73,False
79794139,2,2,0,0,193,False
79794512,2,2,0,1,134,True
79794872,0,1,1,0,127,False
79795578,0,4,4,1,219,True
79795933,1,1,0,1,81,True
79796121,1,2,1,4,128,True
79796335,0,0,0,0,113,False
79796620,-4,2,6,1,313,True
79796876,0,0,0,1,88,True
79797165,0,0,0,1,74,True
79797221,0,0,0,1,47,True
79797577,4,4,0,0,72,False
79798160,1,1,0,1,60,True
79798449,0,0,0,0,71,False
79798524,3,3,0,2,119,True
79799934,1,1,0,1,77,True
79802168,1,1,0,1,69,False
79802208,1,1,0,3,113,True
79802852,0,0,0,0,131,False
79802904,1,1,0,1,50,True
79803102,2,2,0,1,102,True
79803126,2,2,0,1,85,True
79803688,0,2,2,0,70,False
79803876,0,0,0,0,59,False
79804089,0,0,0,1,76,False
79804253,2,3,1,2,144,True
79804551,2,2,0,1,77,False
79805212,1,1,0,0,113,False
79805414,0,0,0,7,197,True
79805848,4,4,0,1,139,True
79806315,2,0,0,2,65,True
79806471,2,2,0,0,98,False
79806877,3,3,0,3,254,True
79807577,5,5,0,4,249,True
79807640,2,2,0,1,60,True
79807659,1,1,0,1,94,True
79808016,1,1,0,1,93,False
79808711,0,0,0,0,67,False
79809217,0,1,1,1,93,True
79809822,2,2,0,1,81,True
79810530,1,1,0,2,130,False
79810659,0,2,2,1,216,True
79810742,1,1,0,1,96,True
79811486,2,2,0,1,124,True
79811492,0,0,0,2,102,False
79811688,0,0,0,1,74,False
79812024,2,0,0,2,120,True
79812429,1,1,0,0,72,False
79812481,0,0,0,0,79,False
79812747,0,0,0,3,49,True
79812842,5,5,0,4,227,True
79813060,0,0,0,1,83,False
79814599,1,3,2,2,182,True
79814928,0,0,0,0,76,False
79815133,2,2,0,2,229,True
79816071,2,2,0,2,112,True
79816352,1,0,0,2,77,True
79817729,1,1,0,1,95,True
79817779,1,1,0,1,76,True
79818073,1,1,0,5,102,True
79818707,0,1,1,3,94,True
79819582,1,1,0,2,83,True
79820341,-4,0,4,1,61,True
79820463,0,0,0,3,63,True
79820764,3,3,0,3,164,True
79821332,-3,0,3,1,62,True
79821379,0,0,0,6,127,True
79821391,1,1,0,0,111,False
79821435,-1,0,1,1,52,True
79821446,1,0,0,3,50,True
79821519,1,1,0,1,213,True
79821823,1,1,0,0,62,False
79822122,2,2,0,3,132,True
79822251,1,1,0,0,88,False
79822323,0,0,0,0,27,False
79822511,1,1,0,1,115,False
79822762,5,5,0,3,181,True
79822777,1,2,1,1,121,True
79822878,1,2,1,1,90,True
79823228,0,0,0,0,131,False
79823770,2,2,0,1,113,True
79824820,2,3,1,1,94,True
79825199,2,2,0,1,49,True
79825480,-2,1,3,1,87,True
79825741,1,1,0,1,93,True
79825809,3,3,0,1,290,True
79825835,2,2,0,1,80,True
79825887,0,1,1,1,56,True
79826234,0,0,0,1,56,False
79826268,1,1,0,0,71,False
79826372,0,0,0,0,83,False
79826891,1,1,0,1,122,True
79826986,0,0,0,1,57,False
79827087,1,0,0,1,83,False
79827540,0,0,0,1,72,True
79827833,4,4,0,2,2420,False
79828051,0,1,1,0,38,False
79828237,1,1,0,0,115,False
79828496,1,1,0,2,119,True
79828677,-3,0,3,0,105,False
79829003,1,1,0,2,127,True
79829103,0,1,1,1,66,True
79829334,0,0,0,1,57,True
79829377,0,0,0,0,55,False
79831774,0,0,0,0,40,False
79831791,0,0,0,2,89,False
